cajero,fecha,num averias,target
T12906I1,"03/11/2016 15:32:04,000000000",4,1
T16323B1,"03/11/2016 15:53:08,000000000",1,1
T10812E1,"04/11/2016 10:30:59,000000000",4,1
T11600E1,"04/11/2016 11:33:05,000000000",1,1
T11615E1,"04/11/2016 12:36:14,000000000",3,1
T18683D1,"07/11/2016 08:16:40,000000000",2,1
T10083B1,"07/11/2016 12:08:49,000000000",2,1
T10628C1,"07/11/2016 12:48:10,000000000",1,1
T13961B1,"07/11/2016 14:22:19,000000000",2,1
T18683D1,"07/11/2016 15:15:02,000000000",3,1
T11519C1,"07/11/2016 18:55:10,000000000",4,1
T11025B1,"08/11/2016 12:04:31,000000000",1,1
T14207E1,"08/11/2016 12:53:25,000000000",1,1
T16398B1,"08/11/2016 14:26:10,000000000",3,1
T11017E1,"09/11/2016 08:52:25,000000000",2,1
T16964B1,"09/11/2016 11:34:13,000000000",2,1
T10130C1,"10/11/2016 10:45:33,000000000",3,1
T10409C1,"10/11/2016 11:28:37,000000000",5,1
T16982C1,"10/11/2016 11:45:14,000000000",2,1
T14962B1,"11/11/2016 11:25:32,000000000",1,1
T17015B1,"11/11/2016 12:33:17,000000000",2,1
T18808B1,"14/11/2016 09:58:32,000000000",4,1
T18366B1,"14/11/2016 10:26:10,000000000",2,1
